apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,max_height_m,colours_all,tree_names,range_names,subgenus
Corymbia watsoniana,1.5,2,1.2,1.7,1.5,3.2,1.2,2.4,7,7,15,white_cream,Corymbia_watsoniana,Corymbia watsoniana,Blakella
Corymbia xanthope,0.7,0.8,0.4,0.5,1.4,2,1,1.5,7,7,12,white_cream,Corymbia_xanthope,Corymbia xanthope,Corymbia
Corymbia zygophylla,1,1.3,0.7,0.8,1.8,3.5,1.7,3.3,3,7,6,white_cream,Corymbia_zygophylla,Corymbia zygophylla,Corymbia
Eucalyptus abdita,1.1,2.1,0.25,0.4,0.6,NA,0.4,0.5,13,13,3,white_cream,Eucalyptus_abdita,Eucalyptus abdita,Symphyomyrtus
Eucalyptus absita,0.4,0.6,0.3,0.4,0.4,0.5,0.4,0.6,7,7,10,white_cream,Eucalyptus_absita,Eucalyptus absita,Symphyomyrtus
Eucalyptus acaciiformis,0.3,0.4,0.2,0.3,0.3,0.4,0.3,0.6,7,7,20,white_cream,Eucalyptus_acaciiformis,Eucalyptus acaciiformis,Symphyomyrtus
Eucalyptus accedens,0.8,1.4,0.5,0.7,0.6,1.1,0.6,0.9,7,11,25,white_cream,Eucalyptus_accedens,Eucalyptus accedens,Symphyomyrtus
Eucalyptus acies,0.6,0.9,0.7,0.9,0.9,1.2,1.3,1.5,7,7,3,white_cream,Eucalyptus_acies,Eucalyptus acies,Eucalyptus
Eucalyptus acmenoides,0.5,0.7,0.3,0.5,0.5,0.8,0.4,0.9,11,15,45,white_cream,Eucalyptus_acmenoides,Eucalyptus acmenoides,Eucalyptus
Eucalyptus acroleuca,0.2,0.3,0.1,0.2,0.2,0.3,0.2,0.3,7,7,25,white_cream,Eucalyptus_acroleuca,Eucalyptus acroleuca,Symphyomyrtus
Eucalyptus adesmophloia,0.7,1.2,0.35,0.5,0.4,0.6,0.5,0.9,11,21,5,white_cream,NA,Eucalyptus adesmophloia,Symphyomyrtus
Eucalyptus aequioperta,0.5,0.7,0.25,0.35,0.4,0.5,0.4,0.6,9,15,10,white_cream,Eucalyptus_aequioperta,Eucalyptus aequioperta,Symphyomyrtus
Eucalyptus agglomerata,0.6,0.8,0.3,0.4,0.3,0.5,0.5,1,11,15,8,white_cream,Eucalyptus_agglomerata,Eucalyptus agglomerata,Eucalyptus
Eucalyptus aggregata,0.3,0.5,0.2,0.3,0.2,0.5,0.3,0.5,7,7,20,white_cream,Eucalyptus_aggregata,Eucalyptus aggregata,Symphyomyrtus
Eucalyptus alaticaulis,0.45,0.9,0.25,0.5,0.5,1.1,0.5,1,7,7,30,white_cream,Eucalyptus_alaticaulis,NA,NA
Eucalyptus alatissima,3.2,4.5,1.5,3,1.4,2,2.5,4.5,3,3,7,red,NA,Eucalyptus alatissima,Symphyomyrtus
Eucalyptus alba,0.4,0.8,0.4,0.6,0.3,0.6,0.5,0.8,7,7,20,white_cream,Eucalyptus_alba,Eucalyptus alba,Symphyomyrtus
Eucalyptus albens,0.8,1.8,0.3,0.6,0.6,1.4,0.5,1,7,7,25,white_cream,Eucalyptus_albens,Eucalyptus albens,Symphyomyrtus
Eucalyptus albida,0.6,1,0.5,NA,0.5,0.6,0.5,0.8,7,9,3,white_cream,Eucalyptus_albida,Eucalyptus albida,Symphyomyrtus
Eucalyptus albopurpurea,0.6,1,0.3,0.4,0.6,1,0.5,0.8,7,11,5,pink white_cream,Eucalyptus_albopurpurea,Eucalyptus albopurpurea,Symphyomyrtus
Eucalyptus alipes,1.3,2.1,0.5,0.7,0.7,1.5,0.6,1.1,3,3,8,white_cream,Eucalyptus_alipes,Eucalyptus alipes,Symphyomyrtus
Eucalyptus alligatrix,0.4,0.6,0.2,0.5,0.3,0.5,0.4,0.8,3,7,30,white_cream,Eucalyptus_alligatrix,Eucalyptus alligatrix,Symphyomyrtus
Eucalyptus ammophila,0.8,NA,0.5,NA,0.3,0.5,0.6,0.9,7,7,6,white_cream,NA,Eucalyptus ammophila,Symphyomyrtus
Eucalyptus amplifolia,0.8,1.2,0.3,0.5,0.2,0.5,0.4,0.6,7,15,30,white_cream,Eucalyptus_amplifolia,Eucalyptus amplifolia,Symphyomyrtus
Eucalyptus amygdalina,0.3,0.5,0.2,0.3,0.4,0.7,0.4,0.7,11,15,30,white_cream,Eucalyptus_amygdalina,Eucalyptus amygdalina,Eucalyptus
